Date,Open,High,Low,Close,Adj Close,Volume
30-08-2021,2250,2275.850098,2236.800049,2270.25,2270.25,6473487
31-08-2021,2276.899902,2283.75,2242.25,2258.149902,2258.149902,12223037
01-09-2021,2273,2292.899902,2263,2267.100098,2267.100098,5143640
02-09-2021,2255,2307.800049,2255,2294.399902,2294.399902,4595048
03-09-2021,2310,2395,2302.5,2388.5,2388.5,14151629
06-09-2021,2413,2480,2412,2425.600098,2425.600098,15525644
07-09-2021,2430,2458,2412,2440.899902,2440.899902,8006968
08-09-2021,2452,2454,2406.649902,2431.350098,2431.350098,6600210
09-09-2021,2427.899902,2437.850098,2416.100098,2425.600098,2425.600098,4136538
13-09-2021,2433,2433,2368.050049,2371.550049,2371.550049,7527598
14-09-2021,2375,2394,2366,2368.449951,2368.449951,4111205
15-09-2021,2368.5,2395.75,2368.5,2378.300049,2378.300049,4186300
16-09-2021,2381.550049,2436.75,2367,2428.199951,2428.199951,6206657
17-09-2021,2446,2455.850098,2375.600098,2390.550049,2390.550049,16098099
20-09-2021,2372.100098,2418.350098,2370,2394.350098,2394.350098,5436385
21-09-2021,2405,2416.600098,2384,2404.699951,2404.699951,4576111
22-09-2021,2408,2442,2398.25,2430.5,2430.5,5074612
23-09-2021,2447.399902,2497,2445.5,2489.899902,2489.899902,7267883
24-09-2021,2503.550049,2505.449951,2472,2482.699951,2482.699951,7011181
27-09-2021,2487,2529.899902,2475.300049,2524.449951,2524.449951,7095022
28-09-2021,2534,2564.899902,2512.800049,2548.050049,2548.050049,8323269
29-09-2021,2570,2570,2520.050049,2527.850098,2527.850098,4485721
30-09-2021,2525,2534.600098,2500.350098,2519.25,2519.25,6272085
01-10-2021,2501.949951,2539.800049,2495,2523.699951,2523.699951,4133626
